"","notification_date","covid_case"
"266","2020-12-09",5
"267","2020-12-10",4
"268","2020-12-11",2
"269","2020-12-12",3
"270","2020-12-13",4
"271","2020-12-14",4
"272","2020-12-15",2
"273","2020-12-16",8
"274","2020-12-17",24
"275","2020-12-18",24
"276","2020-12-19",29
"277","2020-12-20",23
"278","2020-12-21",10
"279","2020-12-22",13
"280","2020-12-23",15
"281","2020-12-24",10
"282","2020-12-25",9
"283","2020-12-26",12
"284","2020-12-27",7
"285","2020-12-28",7
"286","2020-12-29",27
"287","2020-12-30",6
"288","2020-12-31",10
"289","2021-01-01",14
"290","2021-01-02",6
"291","2021-01-03",8
"292","2021-01-04",4
"293","2021-01-05",3
"294","2021-01-06",8
"295","2021-01-07",4
"296","2021-01-08",9
"297","2021-01-09",4
"298","2021-01-10",8
"299","2021-01-11",9
"300","2021-01-12",3
"301","2021-01-14",1
"302","2021-01-15",8
"303","2021-01-16",12
"304","2021-01-18",1
"305","2021-01-19",2
"306","2021-01-20",3
"307","2021-01-23",1
"308","2021-01-25",3
"309","2021-01-27",3
"310","2021-01-29",2
"311","2021-01-30",1
"312","2021-01-31",3
"313","2021-02-03",1
"314","2021-02-05",2
"315","2021-02-07",4
"316","2021-02-08",3
"317","2021-02-09",1
"318","2021-02-10",1
"319","2021-02-15",1
"320","2021-02-16",1
"321","2021-02-18",1
"322","2021-02-20",2
"323","2021-02-21",1
"324","2021-02-22",3
"325","2021-02-23",3
"326","2021-02-24",3
"327","2021-02-25",4
"328","2021-02-26",3
"329","2021-02-27",2
"330","2021-02-28",3
"331","2021-03-01",1
"332","2021-03-02",4
"333","2021-03-03",1
"334","2021-03-04",9
"335","2021-03-05",2
"336","2021-03-06",1
"337","2021-03-08",3
"338","2021-03-09",5
"339","2021-03-10",3
"340","2021-03-11",4
"341","2021-03-13",2
"342","2021-03-14",1
"343","2021-03-16",3
"344","2021-03-17",5
"345","2021-03-19",2
"346","2021-03-20",1
"347","2021-03-21",3
"348","2021-03-23",4
"349","2021-03-24",1
"350","2021-03-25",2
"351","2021-03-26",1
"352","2021-03-28",2
"353","2021-03-29",1
"354","2021-03-30",5
"355","2021-03-31",2
"356","2021-04-02",2
"357","2021-04-03",1
"358","2021-04-04",3
"359","2021-04-05",5
"360","2021-04-08",1
"361","2021-04-09",2
"362","2021-04-10",5
"363","2021-04-11",2
"364","2021-04-12",3
"365","2021-04-13",2
"366","2021-04-14",2
"367","2021-04-15",1
"368","2021-04-16",6
