"","Postcode","Population","Median Age","Median Income","Unemp Rate","Transport","Mean Yr of Edu","Case Per Pop","Covid Case"
"63","2081",5369,39,831,0.0278505117829088,"drive_car",8.4406779661017,0.160365058670143,861
"64","2082",5397,40,818,0.0231046931407942,"drive_car",8.1248841949231,0.17491198814156,944
"65","2083",1519,49,771,0.0315870570107858,"drive_car",8.71033574720211,0.125082290980909,190
"66","2084",3625,44,827,0.0230082417582418,"drive_car",8.28441379310345,0.214068965517241,776
"67","2085",11624,45,785,0.0231238625414838,"drive_car",8.39779766001377,0.206899518238128,2405
"68","2086",13414,40,862,0.0274746687451286,"drive_car",8.26919636200984,0.24407335619502,3274
"69","2087",12798,42,788,0.0237732398658945,"drive_car",8.26863572433193,0.23300515705579,2982
"70","2088",28475,42,1295,0.0241636479863627,"drive_car",8.76825285338016,0.186549604916594,5312
"71","2089",11918,37,1381,0.0263107355483004,"drive_car",9.25524416848464,0.174693740560497,2082
"72","2090",13724,39,1347,0.0265381005205222,"drive_car",9.16008452346255,0.176187700378898,2418
"73","2092",7139,40,1062,0.0241935483870968,"drive_car",8.16893122286034,0.239249194565065,1708
"74","2093",22873,39,1029,0.0251933575978162,"drive_car",8.23145193022341,0.24373715734709,5575
"75","2094",5840,38,1250,0.022439227093289,"drive_car",8.91797945205479,0.238013698630137,1390
"76","2095",15866,36,1280,0.0266492866970816,"drive_car",9.01134501449641,0.241207613765284,3827
"77","2096",14657,36,1135,0.0207077993719766,"drive_car",8.50071638125128,0.253257829023675,3712
"78","2097",15529,39,908,0.0204756146715034,"drive_car",8.26434413033679,0.249726318500869,3878
"79","2099",39925,38,817,0.0232893968722156,"drive_car",8.34146524733876,0.261865998747652,10455
"80","2100",20911,39,824,0.024390243902439,"drive_car",8.25034670747453,0.26679737936971,5579
"81","2101",19395,42,888,0.0181301326595073,"drive_car",8.32214488270173,0.218458365558134,4237
"82","2102",7501,39,876,0.0239986187845304,"drive_car",7.91441141181176,0.240101319824023,1801
"83","2103",10670,44,870,0.0180015950780449,"drive_car",8.45679475164011,0.202436738519213,2160
"84","2104",3620,56,775,0.0169005102040816,"drive_car",8.75745856353591,0.164640883977901,596
"85","2105",1848,50,1013,0.018018018018018,"drive_car",8.5741341991342,0.158008658008658,292
"86","2106",9301,43,901,0.0225046333068573,"drive_car",8.77056230512848,0.196753037307816,1830
"87","2107",14669,45,880,0.0223111640977604,"drive_car",8.63071784034358,0.194287272479378,2850
"88","2108",1673,57,1035,0.0290736984448952,"drive_car",9.12910938433951,0.169754931261207,284
"89","2110",10343,42,967,0.0177713736791547,"drive_car",8.25514840955235,0.192400657449483,1990
"90","2111",14412,40,950,0.026704977605003,"drive_car",8.54468498473494,0.239938939772412,3458
"91","2112",32852,36,766,0.034658211046383,"drive_car",8.57567271399002,0.231705832217217,7612
"92","2113",18371,37,784,0.0364603862830114,"drive_car",8.75777039899842,0.333405911490937,6125
"93","2114",24057,35,790,0.0405755252414617,"drive_car",9.00174585359771,0.204888390073575,4929
"94","2115",10737,37,647,0.0342329711414885,"drive_car",8.01108317034553,0.241594486355593,2594
"95","2116",6642,37,645,0.0467726847521048,"drive_car",8.30939476061427,0.232460102378802,1544
"96","2117",21285,37,628,0.039650382032878,"drive_car",8.38609349307024,0.219967112990369,4682
"97","2118",24341,39,648,0.0392533764985583,"drive_car",8.70268271640442,0.200566944661271,4882
"98","2119",11643,43,910,0.0271646859083192,"drive_car",8.78098428240144,0.183114317615735,2132
"99","2120",20208,40,836,0.0302469135802469,"drive_car",8.69279493269992,0.203236342042755,4107
"100","2121",28214,37,734,0.0428546891102714,"drive_car",9.10133267172326,0.210143900191394,5929
"101","2122",31160,36,602,0.0453964674934235,"drive_car",9.11007702182285,0.166784338896021,5197
"102","2125",16374,41,875,0.0298172010788133,"drive_car",8.98460974716013,0.20447050201539,3348
"103","2126",18765,42,768,0.0342983828899322,"drive_car",8.91873168132161,0.207780442312816,3899
"104","2127",14532,33,1036,0.0363621303735608,"drive_car",8.58505367464905,0.306083126892375,4448
"105","2128",4166,33,712,0.026158038147139,"drive_car",4.4855976956313,0.129140662506001,538
"106","2130",7311,36,993,0.029126213592233,"train",8.74982902475722,0.203665709205307,1489
"107","2131",23841,34,681,0.0443083401119671,"train",8.91674006962795,0.204815234260308,4883
"108","2132",10612,40,673,0.0367779783393502,"drive_car",8.43007915567282,0.22107048624199,2346
"109","2133",11012,39,680,0.0318747223456242,"drive_car",8.27152197602615,0.226934253541591,2499
"110","2134",16033,30,478,0.0549602488765987,"train",9.34715898459427,0.253789060063619,4069
"111","2135",25251,32,658,0.0421047860768673,"drive_car",9.1630034454081,0.254326561324304,6422
"112","2136",7364,37,667,0.0371096942945889,"drive_car",8.4565453557849,0.239951113525258,1767
"113","2137",26507,39,855,0.0286842463577361,"drive_car",8.55475912023239,0.237069453351945,6284
"114","2138",20023,31,762,0.0467918348248231,"drive_car",9.16780702192479,0.192928132647455,3863
"115","2140",16167,30,705,0.0503864663847163,"drive_car",8.64031669450114,0.304694748561885,4926
"116","2141",28675,33,501,0.052616351161445,"drive_car",8.3766695727986,0.278047079337402,7973
"117","2142",26292,31,512,0.0589270427090269,"drive_car",7.61052791723718,0.296972463106648,7808
"118","2143",8921,34,492,0.0490497484628284,"drive_car",7.81425849120054,0.286066584463625,2552
"119","2144",37366,30,434,0.0676604362404967,"drive_car",7.45926778354654,0.305250762725472,11406
"120","2145",79211,34,680,0.0452624644504073,"drive_car",7.87966317809395,0.266654883791393,21122
"121","2146",17465,35,684,0.0411421995252823,"drive_car",8.13089035213284,0.265044374463212,4629
"122","2147",36341,37,677,0.0392170282663747,"drive_car",8.01681296607138,0.233262706034506,8477
"123","2148",63071,34,633,0.0468258079942614,"drive_car",7.89277163831238,0.278765201122544,17582
"124","2150",31500,31,730,0.061941178708671,"drive_car",8.51219047619048,0.250222222222222,7882
"125","2151",21306,37,737,0.0388142338081781,"drive_car",8.26884445696048,0.20956538064395,4465
"126","2152",11215,37,787,0.0328824370394809,"drive_car",8.43004904146233,0.245296477931342,2751
"127","2153",56562,38,795,0.0325928582636569,"drive_car",8.45953113397687,0.24010819985149,13581
"128","2154",39594,40,787,0.0321821774724758,"drive_car",8.56723240895085,0.218341162802445,8645
"129","2155",55452,34,908,0.0324422843256379,"drive_car",7.99998196638534,0.340204140517925,18865
"130","2156",12942,43,794,0.0218548080577727,"drive_car",8.60485241848246,0.208236748570545,2695
"131","2157",3741,41,726,0.0166777851901268,"drive_car",7.92755947607592,0.213846565089548,800
"132","2158",8575,43,747,0.0226818830242511,"drive_car",8.4998250728863,0.199183673469388,1708
"133","2159",4975,44,745,0.0235790518739141,"drive_car",8.47256281407035,0.179497487437186,893
"134","2160",35973,32,485,0.0526796375640936,"drive_car",7.50251577572068,0.290968226169627,10467
"135","2161",31418,31,451,0.0512307884543296,"drive_car",7.01995671271246,0.317652301228595,9980
"136","2162",18622,34,458,0.0497656465398401,"drive_car",7.29411448823972,0.279615508538288,5207
"137","2163",9590,36,412,0.0557640056928451,"drive_car",6.52440041710115,0.264129301355579,2533
"138","2164",19624,37,473,0.0424911212582445,"drive_car",7.28011618426417,0.276243375458622,5421
"139","2165",42444,36,407,0.0540786919955302,"drive_car",7.0776552634059,0.26531429648478,11261
"140","2166",52762,36,408,0.0665206041394742,"drive_car",7.15767029301391,0.218111519654297,11508
"141","2167",9633,35,712,0.0497347480106101,"drive_car",7.77234506384304,0.236271151250908,2276
"142","2168",43451,33,464,0.0531671858774663,"drive_car",7.08998642148627,0.264919104278383,11511
"143","2170",105451,34,545,0.0455203807159114,"drive_car",7.33961745265574,0.261211368313245,27545
"144","2171",34866,32,711,0.0365286269081401,"drive_car",7.58578557907417,0.278351402512476,9705
"145","2172",2781,36,981,0.025462962962963,"drive_car",8.34448040273283,0.267889248471773,745
"146","2173",14433,31,874,0.030905476233508,"drive_car",8.08757708030209,0.249636250259821,3603
"147","2174",2267,31,820,0.0411124546553809,"drive_car",7.42390824878694,1.40670489633877,3189
"148","2175",1837,42,627,0.0197109067017083,"drive_car",7.30430048992923,0.222101252041372,408
"149","2176",47809,38,483,0.0407576181869097,"drive_car",7.7008094710201,0.247673032274258,11841
"150","2177",15979,36,456,0.0518512768765039,"drive_car",7.45447149383566,0.253269916765755,4047
"151","2178",4230,39,669,0.0295637198622273,"drive_car",7.27328605200946,0.199763593380615,845
"152","2179",6530,38,608,0.0266490266490266,"drive_car",6.98238897396631,0.64594180704441,4218
"153","2190",25566,33,437,0.0427077430323013,"drive_car",7.1595087225221,0.302120003129156,7724
"154","2191",6322,39,548,0.0293127351950881,"drive_car",7.94179057260361,0.272065801961405,1720
"155","2192",12718,37,504,0.0458847146544307,"drive_car",7.73108979399277,0.307831420034597,3915
"156","2193",15256,38,706,0.0328730582143418,"drive_car",8.29785002621919,0.27163083377032,4144
"157","2194",24541,34,486,0.0542438086078384,"drive_car",8.4444399168738,0.25398313027179,6233
"158","2195",27154,31,433,0.067245012988286,"drive_car",7.13335051926051,0.288797230610591,7842
"159","2196",31815,33,460,0.048268328208448,"drive_car",7.38110953952538,0.311048247681911,9896
"160","2197",9069,34,469,0.0482857142857143,"drive_car",7.41404785533135,0.296173778806925,2686
"161","2198",9038,37,570,0.0308151093439364,"drive_car",7.4061739322859,0.291768090285461,2637
"162","2199",18013,34,467,0.0492445838084379,"drive_car",7.34158663187698,0.288569366568589,5198
"163","2200",43687,32,461,0.0528069347800448,"drive_car",7.37388696866345,0.293016229084167,12801
"164","2203",13707,37,915,0.0322943722943723,"drive_car",8.42598672211279,0.242066097614358,3318
"165","2204",26502,36,792,0.0359421054946989,"drive_car",8.32205116594974,0.252811108595578,6700
"166","2205",19447,30,697,0.0431787135475441,"train",8.76443667403713,0.319895099501208,6221
"167","2206",19404,42,663,0.0263938877312622,"drive_car",7.78195217480932,0.247371675943105,4800
"168","2207",28534,39,623,0.0334848225004287,"drive_car",7.85424405971823,0.244620452793159,6980
"169","2208",12446,40,588,0.0346990786120369,"drive_car",8.03631688896031,0.262815362365419,3271
"170","2209",15769,39,567,0.0426086290137175,"drive_car",8.31726805758133,0.245481641194749,3871
"171","2210",30586,41,574,0.0358200702973816,"drive_car",8.19257176485974,0.252272281435951,7716
"172","2211",16846,40,629,0.0364832963731311,"drive_car",8.24890181645494,0.242787605366259,4090
"173","2212",15847,38,629,0.0367308742104032,"drive_car",8.00877137628573,0.278538524641888,4414
"174","2213",21784,39,692,0.0320520197951433,"drive_car",8.03208777084098,0.260879544619905,5683
"175","2214",3952,39,697,0.0336294416243655,"drive_car",8.14752024291498,0.262651821862348,1038
"176","2216",28067,34,663,0.0412971982848341,"drive_car",8.47817721879788,0.267716535433071,7514
"177","2217",26843,35,693,0.0397813815966311,"drive_car",8.45058301978169,0.262414782252356,7044
"178","2218",16431,35,623,0.0437372856727695,"drive_car",8.60811879982959,0.228957458462662,3762
"179","2219",13200,44,744,0.0277600800946573,"drive_car",8.20378787878788,0.241590909090909,3189
"180","2220",32487,32,493,0.0553382379328907,"drive_car",8.95228860775079,0.241850586388402,7857
"181","2221",16481,40,705,0.0300953516090584,"drive_car",8.44238820459923,0.247861173472483,4085
"182","2222",12786,36,667,0.0412023597715142,"drive_car",8.62670107930549,0.227358047864852,2907
"183","2223",20910,39,808,0.0301472306613695,"drive_car",8.60731707317073,0.224820659971306,4701
"184","2224",14213,43,738,0.0260398762461327,"drive_car",8.25532962780553,0.229156406107085,3257
"185","2225",5407,39,927,0.0206461015302405,"drive_car",8.25097096356575,0.253560199741076,1371
"186","2226",12504,40,859,0.0240286298568507,"drive_car",8.20233525271913,0.238883557261676,2987
"187","2227",14626,40,839,0.0229757430816536,"drive_car",8.35977027211815,0.248803500615343,3639
"188","2228",18361,40,754,0.0253097109364593,"drive_car",8.22177441315833,0.280104569467894,5143
"189","2229",28718,41,822,0.0209257265877287,"drive_car",8.32732084406992,0.264120064071314,7585
"190","2230",28843,40,969,0.0208673636066645,"drive_car",8.72797559199806,0.266095759803072,7675
"191","2231",2267,37,757,0.0270906949352179,"drive_car",7.41640935156595,0.264225849139832,599
"192","2232",32870,39,835,0.0246181558899689,"drive_car",8.38262853665957,0.241101308183754,7925
"193","2233",29498,39,803,0.0213586344337579,"drive_car",8.19126720455624,0.257610685470201,7599
"194","2234",30580,40,846,0.0259073591337477,"drive_car",8.63992805755396,0.247907128842381,7581
"195","2250",67194,41,641,0.0372224244630506,"drive_car",8.03156531833199,0.202860374438194,13631
"196","2251",32702,44,641,0.0314791831208394,"drive_car",8.1857378753593,0.211363219374962,6912
"197","2256",15598,48,543,0.0398763756972712,"drive_car",8.04891652775997,0.184254391588665,2874
"198","2257",29010,46,569,0.0365929295017573,"drive_car",7.96039296794209,0.194863840055153,5653
"199","2258",5164,39,711,0.0351892022174018,"drive_car",8.22075910147173,0.209140201394268,1080
"200","2259",59513,40,566,0.0395608555744842,"drive_car",7.56125552400316,0.242451229143212,14429
"201","2260",23417,41,755,0.0296068339788826,"drive_car",8.34692744587266,0.230302771490797,5393
"202","2261",52754,42,595,0.0374434520357267,"drive_car",7.76136406717974,0.218845964287068,11545
"203","2262",20830,39,530,0.0490125240847784,"drive_car",7.46356216994719,0.237830052808449,4954
"204","2263",24267,45,517,0.0423879711148482,"drive_car",7.37899204681254,0.204021922775786,4951
"205","2264",14233,46,543,0.0389566680689945,"drive_car",7.90746855898265,0.214501510574018,3053
"206","2265",5805,44,552,0.0365145228215768,"drive_car",7.89302325581395,0.266666666666667,1548
"207","2267",2759,53,579,0.0372881355932203,"drive_car",8.29829648423342,0.167814425516491,463
"208","2278",2570,37,647,0.0471789883268482,"drive_car",7.83852140077821,0.226459143968872,582
"209","2280",26678,44,617,0.038918869477728,"drive_car",8.04599295299498,0.19341779743609,5160
"210","2281",14274,48,539,0.0386244704709693,"drive_car",8.01863528093036,0.188944934846574,2697
"211","2282",14777,44,694,0.0332974405698666,"drive_car",8.25451715503823,0.204439331393382,3021
"212","2283",23300,46,575,0.0432171636811579,"drive_car",8.06300429184549,0.17618025751073,4105
"213","2284",10500,43,571,0.048190019413041,"drive_car",7.96161904761905,0.245428571428571,2577
"214","2285",30714,36,664,0.0392408734927278,"drive_car",7.74295109721951,0.238262681513316,7318
"215","2286",3909,38,596,0.0430452939286862,"drive_car",7.5753389613712,0.258889741621898,1012
"216","2287",36400,36,615,0.0464305251641138,"drive_car",7.96956043956044,0.243461538461538,8862
"217","2289",19117,39,727,0.0361170871634396,"drive_car",8.2614950044463,0.247109902181305,4724
"218","2290",33426,40,647,0.0353995353810981,"drive_car",8.02940824507868,0.226889247890863,7584
"219","2291",13417,39,890,0.0272004337610699,"drive_car",8.66803309234553,0.251695610046955,3377
"220","2292",2465,35,710,0.0483711747285291,"drive_car",8.3789046653144,0.260851926977688,643
"221","2293",2521,36,814,0.0401276789785682,"drive_car",8.92026973423245,0.32487108290361,819
"222","2294",1929,35,743,0.0490018148820327,"drive_car",8.56868843960601,0.258683255572836,499
"223","2295",6925,50,601,0.0322417285617826,"drive_car",7.53660649819495,0.207364620938628,1436
"224","2296",1883,34,763,0.0517456359102244,"drive_car",8.67657992565056,0.290493892724376,547
"225","2297",1680,37,666,0.0402046783625731,"drive_car",8.12619047619048,0.273214285714286,459
"226","2298",9498,36,585,0.0525796099728462,"drive_car",8.13529164034534,0.226152874289324,2148
"227","2299",11207,33,533,0.057012294636057,"drive_car",8.26304987953957,0.233068617828143,2612
"228","2300",10578,37,929,0.036668412781561,"drive_car",9.23681225184345,0.272263187748157,2880
"229","2302",564,35,784,0.0585009140767824,"drive_car",9.20567375886525,0.588652482269504,332
"230","2303",9143,41,669,0.0443844075646469,"drive_car",8.34627583944001,0.245871158263152,2248
"231","2304",15176,37,617,0.0511328367473619,"drive_car",8.18245914602003,0.223972061149183,3399
"232","2305",12506,40,749,0.0352823588205897,"drive_car",8.28570286262594,0.230689269150808,2885
"233","2306",3358,38,405,0.0663362561951963,"drive_car",6.32072662298988,0.196843359142347,661
"234","2307",3905,33,497,0.047808764940239,"drive_car",8.24507042253521,0.232522407170294,908
"235","2308",1326,20,169,0.154600301659125,"drive_car",11.3770739064857,0.17420814479638,231
"236","2311",858,47,535,0.0284900284900285,"drive_car",7.48368298368298,0.153846153846154,132
"237","2312",1458,47,474,0.0459574468085106,"drive_car",7.35733882030178,0.169410150891632,247
"238","2315",14658,51,573,0.0347311139564661,"drive_car",7.97100559421476,0.164210669941329,2407
"239","2316",5849,46,535,0.0337768679631525,"drive_car",7.712087536331,0.186869550350487,1093
"240","2317",6244,52,548,0.0314811302863645,"drive_car",7.9168802049968,0.135970531710442,849
"241","2318",12147,39,666,0.0330327181208054,"drive_car",7.57018193792706,0.227463571252161,2763
"242","2319",6684,49,483,0.0402037474986356,"drive_car",7.56852184320766,0.154398563734291,1032
"243","2320",34556,36,647,0.0444973584344073,"drive_car",7.48874291005903,0.268115522629934,9265
"244","2321",14625,36,687,0.0374416350982292,"drive_car",7.64895726495727,0.314119658119658,4594
"245","2322",18450,37,620,0.0488858416181008,"drive_car",7.64981029810298,0.312086720867209,5758
"246","2323",25735,38,622,0.04513110439614,"drive_car",7.73771128812901,0.20423547697688,5256
"247","2324",23648,45,538,0.043842947563423,"drive_car",7.61785351826793,0.183651894451962,4343
"248","2325",28460,39,514,0.0462286039486933,"drive_car",6.99290231904427,0.221574139142656,6306
"249","2326",7332,39,494,0.0524961399897066,"drive_car",7.15711947626841,0.241953082378614,1774
"250","2327",7615,41,496,0.0498397435897436,"drive_car",7.28181221273802,0.221930400525279,1690
"251","2328",2442,41,625,0.0231481481481481,"drive_car",7.19041769041769,0.188370188370188,460
"252","2329",2112,44,524,0.0290284360189573,"drive_car",6.859375,0.133996212121212,283
"253","2330",20350,36,669,0.0410529614540896,"drive_car",7.37036855036855,0.233955773955774,4761
"254","2333",13647,34,632,0.0538146490141918,"drive_car",6.97603868982194,0.213526782443028,2914
"255","2334",2830,33,598,0.0537482319660538,"drive_car",6.99363957597173,0.28339222614841,802
"256","2335",6156,35,716,0.0337938363443146,"drive_car",7.31010396361274,0.308317089018843,1898
"257","2336",2614,39,658,0.0315994166261546,"drive_car",7.06465187452181,0.153404743687835,401
"258","2337",7891,39,686,0.0245388933440257,"drive_car",7.21556203269548,0.151565074135091,1196
"259","2338",1430,48,490,0.0319059613769941,"drive_car",7.38181818181818,0.0986013986013986,141
"260","2339",679,44,571,0.0256410256410256,"drive_car",6.70544918998527,0.131075110456554,89
"261","2340",49072,38,660,0.034876837147049,"drive_car",7.39448157808934,0.208876752526899,10250
"262","2341",1572,49,453,0.0443425076452599,"drive_car",6.73664122137405,0.107506361323155,169
"263","2342",471,46,634,0.0160427807486631,"drive_car",7.4140127388535,0.148619957537155,70
"264","2343",4968,44,569,0.0374782824522214,"drive_car",7.34440418679549,0.117351046698873,583
"265","2344",756,45,711,0.00825082508250825,"drive_car",7.39153439153439,0.10978835978836,83
"266","2345",721,43,638,0.0320404721753794,"drive_car",7.57836338418863,0.160887656033287,116
"267","2346",3149,47,464,0.0362934362934363,"drive_car",6.93267704033026,0.0908224833280406,286
"268","2347",1931,53,450,0.0296296296296296,"drive_car",6.96892801657172,0.0932159502848265,180
"269","2350",25339,37,606,0.0407171663184491,"drive_car",8.03757054343107,0.168791191444019,4277
"270","2352",2716,41,628,0.0290534208059981,"drive_car",7.47864506627393,0.186303387334315,506
"271","2353",1126,52,532,0.021505376344086,"drive_car",7.0639431616341,0.178507992895204,201
"272","2354",3576,47,579,0.0193679918450561,"drive_car",7.31180089485459,0.092841163310962,332
"273","2355",663,50,486,0.0335689045936396,"drive_car",7.06636500754148,0.104072398190045,69
"274","2356",162,46,417,0.0827067669172932,"drive_car",6.40740740740741,0.111111111111111,18
"275","2357",4159,49,490,0.0345332162715833,"drive_car",7.37292618417889,0.135609521519596,564
"276","2358",3767,47,530,0.0329138431752178,"drive_car",7.60950358375365,0.0974250066365808,367
"277","2359",736,46,423,0.0399334442595674,"drive_car",7.03532608695652,0.0747282608695652,55
"278","2360",14529,41,529,0.0380369156460238,"drive_car",7.16807763782779,0.161607818845068,2348
"279","2361",909,50,425,0.036144578313253,"drive_car",6.81848184818482,0.0616061606160616,56
"280","2365",3721,44,549,0.031628532974428,"drive_car",7.23327062617576,0.133297500671862,496
"281","2369",927,45,409,0.072,"drive_car",6.34735706580367,0.199568500539374,185
"282","2370",7687,46,484,0.0367321089297023,"drive_car",6.99596721737999,0.116170157408612,893
"283","2371",1155,55,430,0.0491159135559921,"drive_car",7.48744588744589,0.0770562770562771,89
"284","2372",4742,53,473,0.0328320802005013,"drive_car",7.31400253057781,0.0533530156052299,253
"285","2379",313,44,618,0.046692607003891,"drive_car",7.20766773162939,0.0990415335463259,31
"286","2380",10392,39,628,0.031982421875,"drive_car",7.12961893764434,0.210931485758276,2192
"287","2381",1193,44,514,0.0391752577319588,"drive_car",7.26906957250629,0.158424140821459,189
"288","2382",1319,42,572,0.0327408793264733,"drive_car",6.82410917361638,0.164518574677786,217
"289","2386",360,43,556,0.0145454545454545,"drive_car",6.61666666666667,0.0777777777777778,28
"290","2387",201,41,565,0.062111801242236,"drive_car",7.01492537313433,0.129353233830846,26
"291","2388",2674,39,588,0.0370009737098345,"drive_car",6.41062079281975,0.119296933433059,319
"292","2390",8757,40,655,0.033886085075703,"drive_car",7.11487952495147,0.13189448441247,1155
"293","2395",671,55,393,0.0488215488215488,"drive_car",7.47540983606557,0.0819672131147541,55
"294","2396",857,49,460,0.0436005625879044,"drive_car",7.14935822637106,0.105017502917153,90
"295","2397",377,37,713,0.0242214532871972,"drive_car",6.81697612732096,0.114058355437666,43
"296","2398",236,43,710,0.0364583333333333,"drive_car",7.8771186440678,0.122881355932203,29
"297","2399",597,42,657,0.0127931769722814,"drive_car",6.51926298157454,0.14070351758794,84
